Store,Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Beverage_prep, Total Fat (g),Trans Fat (g) , Sodium (mg), Total Carbohydrates (g) , Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Dunkin,Donuts,Jelly Stick,1 Stick,500,30,15,0,30,420,57,1,29,28,4,0,65,29,2,,,,,,,,,,,,,
Dunkin,Donuts,Lemon Donut,1 Donut,230,10,4,0,0,310,31,1,10,10,4,1,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Lemon Stick,1 Stick,480,30,15,0,30,460,50,1,24,23,4,0,67,28,2,,,,,,,,,,,,,
Dunkin,Donuts,Maple Crème Donut,1 Donut,290,14,5,0,0,290,38,1,18,18,4,1,61,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Maple Crème Stick,1 Stick,460,22,9,0,0,440,59,1,34,34,5,2,89,17,2,,,,,,,,,,,,,
Dunkin,Donuts,Maple Frosted Donut,1 Donut,260,11,4.5,0,0,280,35,1,14,14,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Maple Vanilla Crème Donut,1 Donut,330,15,6,0,0,300,45,1,25,25,4,1,65,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Old Fashioned Donut,1 Donut,310,19,9,0,20,320,30,1,10,9,4,0,64,24,2,,,,,,,,,,,,,
Dunkin,Donuts,Peanut Donut,1 Donut,470,27,10,0,20,320,50,2,26,25,8,0,162,33,2,,,,,,,,,,,,,
Dunkin,Donuts,Plain Stick,1 Stick,420,30,15,0,30,380,36,1,13,12,4,0,62,27,2,,,,,,,,,,,,,
Dunkin,Donuts,Powdered Donut,1 Donut,330,20,9,0,20,320,34,1,14,13,4,0,64,24,2,,,,,,,,,,,,,
Dunkin,Donuts,Powdered Stick,1 Stick,440,30,15,0,30,380,42,1,18,17,4,0,62,27,2,,,,,,,,,,,,,
Dunkin,Donuts,Sour Cream Donut,1 Donut,360,17,7,0,10,360,49,1,25,25,4,0,16,15,1,,,,,,,,,,,,,
Dunkin,Donuts,Strawberry Frosted Donut,1 Donut,260,11,4.5,0,0,280,35,1,14,14,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Strawberry Frosted with Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,16,15,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Sugared Donut,1 Donut,210,11,4.5,0,0,270,24,1,5,4,4,0,55,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Sugared Stick,1 Stick,430,30,15,0,30,380,39,1,16,15,4,0,62,27,2,,,,,,,,,,,,,
Dunkin,Donuts,Taillight Donut,1 Donut,320,15,6,0,0,310,41,1,21,20,4,0,78,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Toasted Coconut Donut,1 Donut,430,22,11,0,20,360,52,3,29,28,5,1,97,27,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Crème Donut,1 Donut,300,15,6,0,0,290,37,1,18,17,4,1,61,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Frosted Donut,1 Donut,260,11,4.5,0,0,280,34,1,14,13,4,0,58,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Frosted Sprinkles Donut,1 Donut,270,11,4.5,0,0,280,37,1,16,15,4,0,60,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Headlight Donut,1 Donut,310,15,6,0,0,310,41,1,21,20,4,0,78,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Long John,1 Long John,320,15,6,0,0,400,42,1,17,16,5,2,81,16,2,,,,,,,,,,,,,
Dunkin,Donuts,Éclair,1 Éclair,360,16,6,0,0,470,50,1,23,22,6,2,108,49,3,,,,,,,,,,,,,
Dunkin,Donuts - Regional,#ALLCAPS Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Birdland Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,63,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Bulls Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Buttermilk Donut,1 Donut,330,17,7,0,25,390,41,1,20,20,3,0,63,23,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Chocolate Frosted with Chocolate Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,5,0,85,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Cleveland Guardians Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Dodgers Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Fenway Faithful Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2,,,,,,,,,,,,,
